ticker,business_ko
SNDK,낸드 플래시 메모리·SSD 등 데이터 저장장치 제조 (WD에서 분사)
MU,D램·낸드 메모리 반도체 제조 (AI 서버용 HBM 포함)
BE,고체산화물 연료전지 기반 현장 발전 시스템 (데이터센터 전력 공급)
WAT,액체크로마토그래피·질량분석 등 분석기기 및 소프트웨어
LITE,광통신 부품·레이저 (데이터센터용 광트랜시버)
NVDA,AI 가속기(GPU)·데이터센터 플랫폼 및 게이밍 GPU
PLTR,정부·기업용 빅데이터 분석 및 AI 소프트웨어 플랫폼
AVGO,네트워크·맞춤형 AI 반도체 및 인프라 소프트웨어(VMware)
KDP,커피(큐리그)·음료 브랜드 제조 및 유통
DVN,미국 셰일 원유·천연가스 탐사·생산
GPN,카드결제 처리 및 가맹점 결제 소프트웨어
APO,사모신용·사모펀드 대체자산 운용 및 은퇴보험(Athene)
RDDT,온라인 커뮤니티 플랫폼 레딧 운영 (광고·데이터 라이선스)
EOG,미국 원유·천연가스 탐사·생산
APH,커넥터·케이블·센서 등 전자 연결 부품
MPC,석유 정제·마케팅 및 미드스트림(MPLX)
OXY,원유·가스 탐사·생산 및 화학(OxyChem)
PSX,석유 정제·화학·미드스트림·마케팅
OKE,천연가스·NGL 수집·처리·수송 미드스트림
CVNA,온라인 중고차 매매 플랫폼
CVX,석유·가스 탐사·생산 및 정제 통합 에너지
FANG,퍼미안 분지 원유·천연가스 탐사·생산
FIX,기계·전기 설비(HVAC) 시공 및 유지보수
AMD,CPU·GPU·AI 가속기 등 반도체 설계
VLO,석유 정제 및 재생연료(에탄올·재생디젤) 생산
STX,하드디스크(HDD) 등 데이터 저장장치
LLY,비만·당뇨 치료제(GLP-1) 등 전문의약품
MPWR,전력관리 반도체(전원 IC) 설계
HBAN,미국 중서부 지역은행
FITB,미국 중서부·남동부 지역은행
XOM,석유·가스 탐사·생산·정제·화학 통합 에너지
WDC,하드디스크(HDD) 데이터 저장장치
BRK-B,보험·철도·에너지 유틸리티 등 복합 지주회사
PWR,전력망·통신·가스 인프라 설계·시공
ADI,아날로그·혼성신호·전력 반도체
GS,투자은행·트레이딩·자산운용
MCHP,마이크로컨트롤러(MCU) 등 임베디드 반도체
P,기업용 올플래시 데이터 스토리지 (구 Pure Storage)
INCY,항암·면역·피부질환 치료제 바이오제약
ANET,데이터센터·AI 클러스터용 고속 네트워크 스위치
COP,원유·천연가스·LNG 탐사·생산
MRVL,데이터센터용 맞춤형 AI 칩·광통신·네트워크 반도체
DDOG,클라우드 모니터링·보안 SaaS 플랫폼
DASH,음식·식료품 배달 플랫폼
AXON,테이저건·보디캠 및 경찰용 클라우드 소프트웨어
J,인프라·첨단시설 엔지니어링 및 컨설팅
PANW,네트워크·클라우드 사이버보안 솔루션
COHR,레이저·광트랜시버 등 광학·광전자 부품
HPE,서버·스토리지·네트워크(주니퍼) 기업 IT 인프라
STLD,전기로 제강 및 금속 재활용 (알루미늄 진출)
BX,사모펀드·부동산·신용 대체자산 운용
HOOD,모바일 주식·옵션·암호화폐 거래 플랫폼
EXPD,항공·해상 화물 포워딩 및 통관 물류
ALB,리튬 등 배터리 소재 및 특수화학
LRCX,반도체 식각·증착 장비
CRWD,클라우드 기반 엔드포인트 사이버보안 플랫폼
FTNT,방화벽·네트워크 보안 장비 및 소프트웨어
TSLA,전기차 및 에너지 저장장치(ESS)·태양광
INTC,PC·서버용 CPU 반도체 및 파운드리
AMAT,반도체·디스플레이 제조 장비
CASY,미국 중서부 편의점·주유소 체인
VRT,데이터센터 전력·냉각 인프라 장비
HWM,항공기 엔진 부품·체결재 및 단조 휠
CAT,건설·광산 장비 및 엔진·발전 터빈
CBOE,옵션·주식·선물 거래소 운영
TXN,아날로그·임베디드 반도체
GEV,가스터빈·풍력·전력망 장비 (GE에서 분사)
ETN,전력관리 장비 (데이터센터·전기·항공)
IBKR,글로벌 온라인 증권 중개
MLM,골재·시멘트 등 건설자재
NDAQ,나스닥 거래소 운영 및 금융 소프트웨어·데이터
LYB,폴리올레핀 등 석유화학 제품
EME,전기·기계 설비 시공 및 시설관리 서비스
BALL,음료용 알루미늄 캔 포장재
DOW,플라스틱·산업용 중간재 등 소재화학
JBHT,트럭·철도 복합운송 및 전용 물류
